Sample,Calcite+,Dolomite+,QFM+,Rutilo,Muscovite,Kaolinite,Quartz,K-Feldspar,Mg-Calcite,Calcite,Dolomite,Fe-Dolomite,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3
PFJ01A,99.90,0.00,0.01,0,0,0.00,0.01,0,0,99.9,0.00,0.00,0.82,0.02,0.36,0.17,0.00,0.42,55.71,0.03,0.01,0.04,0.04
PFJ01B,99.24,0.12,0.64,0.03,0.01,0.14,0.46,0.00,0.10,99.24,0.02,0.00,1.25,0.02,0.36,0.11,0.00,0.18,54.74,0.03,0.01,0.08,0.02
PFJ01C1,,,,,,,,,,,,,,,,,,,,,,,
PFJ01C2,96.04,0.00,3.95,0.19,0.00,0.00,3.76,0.00,0.00,96.04,0.00,0.00,4.51,0.08,1.44,0.48,0.01,0.24,52.22,0.04,0.11,0.1,0.02
PFJ01D1,,,,,,,,,,,,,,,,,,,,,,,
PFJ01D2,99.61,0.08,0.32,0.00,0.09,0.14,0.09,0.00,0.08,99.61,0.00,0.00,0.65,0.02,0.35,0.14,0.00,0.43,56.06,0.02,0.00,0.04,0.04
PFJ01E,,,,,,,,,,,,,,,,,,,,,,,
PFJ01F,,,,,,,,,,,,,,,,,,,,,,,
PFJ01G1,,,,,,,,,,,,,,,,,,,,,,,
PFJ01G2,,,,,,,,,,,,,,,,,,,,,,,
PFJ01H,,,,,,,,,,,,,,,,,,,,,,,
PFJ01I,,,,,,,,,,,,,,,,,,,,,,,
PFJ01K,,,,,,,,,,,,,,,,,,,,,,,
PFJ01L,,,,,,,,,,,,,,,,,,,,,,,
PFJ01M,,,,,,,,,,,,,,,,,,,,,,,
PFJ01N,,,,,,,,,,,,,,,,,,,,,,,
PFJ02A,99.98,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00,99.98,0.00,0.00,0.68,0.01,0.34,0.14,0.01,0.42,55.72,0.03,0.00,0.04,0.04
PFJ02B,99.67,0.18,0.14,0.00,0.01,0.13,0.00,0.00,0.15,99.67,0.00,0.03,0.36,0.01,0.22,0.10,0.00,0.46,55.88,0.02,0.00,0.04,0.04
PFJ02D,,,,,,,,,,,,,,,,,,,,,,,
PFJ02E,,,,,,,,,,,,,,,,,,,,,,,
PFJ02F,,,,,,,,,,,,,,,,,,,,,,,
PFJ02G,,,,,,,,,,,,,,,,,,,,,,,
PFJ02H,,,,,,,,,,,,,,,,,,,,,,,
PFJ02I,,,,,,,,,,,,,,,,,,,,,,,
PFJ02J,,,,,,,,,,,,,,,,,,,,,,,
PFJ02K,99.98,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.00,99.98,0.00,0.00,0.40,0.01,0.22,0.11,0.00,0.39,56.23,0.04,0.01,0.04,0.04
PFJ03A,,,,,,,,,,,,,,,,,,,,,,,
PFJ03B,,,,,,,,,,,,,,,,,,,,,,,
PFJ03C,,,,,,,,,,,,,,,,,,,,,,,
PFJ03D,,,,,,,,,,,,,,,,,,,,,,,
